91,/sports/m-footbl/mtt/chris_stoll_1051070.html,Chris Stoll,SN,3,SO/FR,74,6-2/244,Westerville, Ohio/St. Francis DeSales,
81,/sports/m-footbl/mtt/cam_sullivan_brown_1051004.html,Cam Sullivan-Brown,WR,3,SO/FR,72,6-0/185,Bowie, Md./Saint Vincent Pallotti,
26,/sports/m-footbl/mtt/jonathan_sutherland_1051005.html,Jonathan Sutherland,S,3,SO/FR,71,5-11/198,Ottawa, Ontario, Canada/Episcopal (Va.)
46,/sports/m-footbl/mtt/nick_tarburton_1066822.html,Nick Tarburton,LB,1,FR/FR,75,6-3/243,Green Lane, Pa./Pennridge,
17,/sports/m-footbl/mtt/garrett_taylor_975830.html,Garrett Taylor,S,7,SR/JR,72,6-0/200,Richmond, Va./Saint Christopher's,
20,/sports/m-footbl/mtt/johnathan_thomas_905751.html,Johnathan Thomas,RB,9,GS/SR,71,5-11/215,Peabody, Mass./St. John's Prep,
3,/sports/m-footbl/mtt/deandre_thompkins_881753.html,DeAndre Thompkins,WR,9,GS/SR,71,5-11/191,Hubert, N.C./Swansboro,
69,/sports/m-footbl/mtt/cj_thorpe_1051006.html,C.J. Thorpe,OL,3,SO/FR,75,6-3/322,Glenshaw, Pa./Central Catholic,
18,/sports/m-footbl/mtt/shaka_toney_1019782.html,Shaka Toney,DE,5,JR/SO,75,6-3/224,Philadelphia, Pa./Imhotep Charter,
98,/sports/m-footbl/mtt/dan_vasey_1058254.html,Dan Vasey,DL/LS,3,SO/FR,76,6-4/237,Lackawaxen, Pa./Wallenpaupack,
96,/sports/m-footbl/mtt/kyle_vasey_921039.html,Kyle Vasey,SN,7,SR/SR,74,6-2/230,Hawley, Pa./Wallenpaupack,
51,/sports/m-footbl/mtt/jason_vranic_1000571.html,Jason Vranic,LB,7,SR/SR,72,6-0/226,Wheatfield, N.Y./Niagara-Wheatfield,
38,/sports/m-footbl/mtt/lamont_wade_1035883.html,Lamont Wade,S,3,SO/SO,69,5-9/196,Clairton, Pa./Clairton,
31,/sports/m-footbl/mtt/christopher_welde_1031220.html,Christopher Welde,RB,7,SR/JR,67,5-7/171,Newtown, Pa./Council Rock North,
80,/sports/m-footbl/mtt/justin_weller_1051051.html,Justin Weller,WR,3,SO/FR,72,6-0/190,Sinking Spring, Pa./Wilson,
54,/sports/m-footbl/mtt/robert_windsor_975819.html,Robert Windsor,DT,7,SR/JR,76,6-4/281,Fond Du Lac, Wis./Fond Du Lac,
77,/sports/m-footbl/mtt/chasz_wright_881764.html,Chasz Wright,OL,7,SR/SR,79,6-7/346,Woodbridge, Va./Milford Academy,
7,/sports/m-footbl/mtt/jake_zembiec_1000592.html,Jake Zembiec,QB,5,JR/SO,75,6-3/215,Rochester, N.Y./Aquinas Institute,
